POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
105,Vinay Kumar,9,4,2,4,4,2,6,66.66,0,0,0,0
106,Ashok Dinda,9,3,2,4,2*,4,12,33.33,0,0,0,0
107,Amit Mishra,10,2,1,4,4*,4,7,57.14,0,0,0,0
108,Tim Southee,3,1,0,4,4,4,4,100,0,0,1,0
109,Dishant Yagnik,1,1,1,4,4*,0,6,66.66,0,0,0,0
110,Abu Nechim,4,1,1,4,4*,0,1,400,0,0,1,0
111,Mohammad Shami,12,4,2,3,1*,1.5,7,42.85,0,0,0,0
112,Manvinder Bisla,1,1,0,3,3,3,9,33.33,0,0,0,0
113,Srikkanth Anirudha,1,1,0,3,3,3,5,60,0,0,0,0
114,Lasith Malinga,10,1,0,2,2,2,4,50,0,0,0,0
115,Wayne Parnell,8,2,1,2,2,2,2,100,0,0,0,0
116,Sandeep Sharma,11,1,1,2,2*,0,5,40,0,0,0,0
117,Umesh Yadav,12,1,0,2,2,2,4,50,0,0,0,0
118,Andre Russell,2,2,0,2,1,1,8,25,0,0,0,0
119,Siddarth Kaul,5,1,1,2,2*,0,2,100,0,0,0,0
120,Unmukt Chand,1,1,0,2,2,2,9,22.22,0,0,0,0
121,Yuzvendra Chahal,14,2,2,1,1*,0,1,100,0,0,0,0
122,Kane Richardson,7,1,0,1,1,1,2,50,0,0,0,0
123,Bhuvneshwar Kumar,14,2,1,1,1,1,4,25,0,0,0,0
124,Jasprit Bumrah,11,2,2,1,1*,0,3,33.33,0,0,0,0
125,Jaydev Unadkat,9,2,1,1,1*,1,6,16.66,0,0,0,0
126,Praveen Kumar,3,1,0,1,1,1,2,50,0,0,0,0
127,Marchant de Lange,1,1,0,1,1,1,2,50,0,0,0,0
128,Vikramjeet Malik,1,1,1,1,1*,0,2,50,0,0,0,0
129,Karanveer Singh,5,1,1,1,1*,0,1,100,0,0,0,0
130,Lakshmipathy Balaji,9,2,1,1,1*,1,3,33.33,0,0,0,0
131,Mohit Sharma,16,1,1,1,1*,0,3,33.33,0,0,0,0
132,Beuran Hendricks,3,1,0,0,0*,0,1,0,0,0,0,0
