POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
49,Cheteshwar Pujara,10,6,2,122,45*,30.5,115,106.08,0,0,14,3
50,Owais Shah,5,5,3,115,58*,57.5,95,121.05,0,1,7,5
51,Brendon McCullum,5,5,1,114,57*,28.5,110,103.63,0,1,14,2
52,Rajagopal Sathish,12,11,4,112,24,16,96,116.66,0,0,11,0
53,AB de Villiers,7,7,0,111,45,15.85,119,93.27,0,0,7,0
54,Paras Dogra,9,8,0,107,41,13.37,106,100.94,0,0,4,5
55,Harbhajan Singh,15,7,3,105,49*,26.25,63,166.66,0,0,12,5
56,Brad Hodge,4,4,0,99,50,24.75,90,110,0,1,11,1
57,David Hussey,6,6,2,94,31,23.5,86,109.3,0,0,5,5
58,Ross Taylor,7,7,3,88,31*,22,75,117.33,0,0,2,6
59,Kedar Jadhav,5,5,2,76,50*,25.33,56,135.71,0,1,7,2
60,Parthiv Patel,4,4,0,72,57,18,79,91.13,0,1,6,2
61,Wriddhiman Saha,13,7,4,67,22,22.33,53,126.41,0,0,9,1
62,Ryan McLaren,10,7,4,66,40,22,69,95.65,0,0,7,0
63,Andrew McDonald,4,3,3,65,33*,0,52,125,0,0,3,2
64,VVS Laxman,6,6,1,64,22,12.8,60,106.66,0,0,7,1
65,Anirudh Singh,5,4,0,63,40,15.75,66,95.45,0,0,6,1
66,Piyush Chawla,14,6,1,62,22,12.4,60,103.33,0,0,7,0
67,Dwayne Bravo,10,8,1,61,23,8.71,53,115.09,0,0,3,4
68,Abhishek Nayar,3,3,1,58,27,29,51,113.72,0,0,4,2
69,Abhishek Raut,6,5,3,56,32*,28,48,116.66,0,0,3,3
70,Aditya Tare,7,4,0,50,23,12.5,36,138.88,0,0,5,3
71,Cameron White,7,5,3,48,21*,24,33,145.45,0,0,3,3
72,Ryan Harris,8,5,1,45,15,11.25,39,115.38,0,0,2,2
73,Graeme Smith,2,2,0,44,26,22,39,112.82,0,0,7,0
74,Tillakaratne Dilshan,6,6,0,44,17,7.33,53,83.01,0,0,6,0
75,Adrian Barath,3,3,1,42,33,21,42,100,0,0,5,1
76,Ajit Agarkar,7,4,3,40,17,40,29,137.93,0,0,4,0
77,Amit Mishra,14,7,3,39,12,9.75,51,76.47,0,0,1,0
78,Michael Hussey,3,3,1,37,15,18.5,44,84.09,0,0,2,0
79,Laxmi Ratan Shukla,4,2,0,36,19,18,26,138.46,0,0,3,2
80,Eoin Morgan,6,4,1,35,17,11.66,30,116.66,0,0,2,1
81,Bodapati Sumanth,5,4,3,35,16,35,37,94.59,0,0,3,0
82,Aditya Dole,3,2,0,34,30,17,22,154.54,0,0,3,1
83,Venugopal Rao,6,5,1,34,24,8.5,43,79.06,0,0,3,1
84,Daniel Vettori,3,3,2,33,19*,33,27,122.22,0,0,4,0
85,Sanath Jayasuriya,4,4,0,33,23,8.25,31,106.45,0,0,4,1
86,MF Maharoof,7,4,1,31,28,10.33,23,134.78,0,0,2,2
87,Chaminda Vaas,6,5,1,30,16,7.5,34,88.23,0,0,1,1
88,Ravichandran Ashwin,12,6,2,30,11*,7.5,40,75,0,0,2,0
89,Rahul Sharma,6,4,1,29,14*,9.66,26,111.53,0,0,3,1
90,Mitchell Marsh,3,2,0,28,15,14,30,93.33,0,0,1,1
91,Mohammad Kaif,4,3,0,28,14,9.33,30,93.33,0,0,2,0
92,Vinay Kumar,14,5,1,27,10*,6.75,32,84.37,0,0,1,0
93,Sridharan Sriram,1,1,0,27,27,27,29,93.1,0,0,3,0
94,Shanthakumaran Sreesanth,6,3,3,27,15*,0,21,128.57,0,0,5,0
95,JM Kemp,5,2,0,26,22,13,24,108.33,0,0,1,1
96,Rajat Bhatia,5,3,0,24,21,8,17,141.17,0,0,1,2
97,Zaheer Khan,14,4,3,24,23*,24,13,184.61,0,0,3,1
98,Ashish Nehra,4,2,1,23,22*,23,20,115,0,0,2,1
99,Murali Kartik,10,2,0,22,21,11,22,100,0,0,2,0
100,Dwayne Smith,3,3,1,22,13*,11,25,88,0,0,1,1
101,Aaron Finch,1,1,0,21,21,21,21,100,0,0,0,1
102,Siddharth Trivedi,11,4,2,20,9,10,14,142.85,0,0,3,1
103,Damien Martyn,1,1,0,19,19,19,24,79.16,0,0,1,0
104,Karan Goel,6,2,1,18,17*,18,20,90,0,0,1,1
105,Lakshmipathy Balaji,7,3,1,18,15,9,20,90,0,0,1,1
106,George Bailey,1,1,0,18,18,18,27,66.66,0,0,2,0
107,Doug Bollinger,8,2,2,18,16*,0,17,105.88,0,0,1,1
108,Chandan Madan,1,1,0,15,15,15,19,78.94,0,0,3,0
109,Sumit Narwal,5,3,1,14,12,7,12,116.66,0,0,2,0
110,Mark Boucher,5,2,1,13,11*,13,10,130,0,0,0,1
111,Dale Steyn,15,4,0,13,8,3.25,17,76.47,0,0,2,0
112,Shaun Tait,8,2,1,12,11,12,13,92.3,0,0,0,1
113,Dimitri Mascarenhas,2,2,1,12,9*,12,10,120,0,0,0,0
114,Brett Lee,4,3,2,11,7*,11,9,122.22,0,0,1,0
115,Moises Henriques,1,1,0,11,11,11,5,220,0,0,2,0
116,Kemar Roach,2,1,0,10,10,10,9,111.11,0,0,1,0
117,Shane Warne,14,7,2,10,4,2,19,52.63,0,0,0,0
118,Thilan Thushara,4,2,1,10,8,10,11,90.9,0,0,0,0
119,Pradeep Sangwan,8,2,1,10,6*,10,14,71.42,0,0,0,0
120,Bipul Sharma,5,2,2,9,8*,0,7,128.57,0,0,1,0
121,Morne Morkel,2,2,1,9,7*,9,16,56.25,0,0,1,0
122,RP Singh,12,5,3,9,4*,4.5,19,47.36,0,0,0,0
123,Jaskaran Singh,6,4,3,8,4*,8,11,72.72,0,0,0,0
124,Shreevats Goswami,1,1,0,8,8,8,10,80,0,0,2,0
125,Stuart Binny,1,1,0,8,8,8,5,160,0,0,1,0
126,Vikramjeet Malik,3,1,0,6,6,6,5,120,0,0,1,0
127,Ishant Sharma,7,2,1,6,6*,6,17,35.29,0,0,0,0
128,Anil Kumble,16,5,5,6,2*,0,11,54.54,0,0,0,0
129,Swapnil Asnodkar,2,2,0,5,5,2.5,4,125,0,0,1,0
130,Abhimanyu Mithun,1,1,0,5,5,5,4,125,0,0,1,0
131,Ramesh Powar,7,2,1,5,3,5,8,62.5,0,0,0,0
132,Amit Uniyal,2,2,1,4,4*,4,7,57.14,0,0,0,0
133,Reetinder Sodhi,3,1,1,4,4*,0,2,200,0,0,1,0
134,Munaf Patel,4,2,1,4,4*,4,5,80,0,0,0,0
135,Praveen Kumar,12,4,2,4,3*,2,8,50,0,0,0,0
136,Dirk Nannes,9,2,1,4,3,4,13,30.76,0,0,0,0
137,Arun Karthik,1,1,1,3,3*,0,5,60,0,0,0,0
138,Umesh Yadav,7,1,1,3,3*,0,4,75,0,0,0,0
139,Sudeep Tyagi,6,1,1,3,3*,0,4,75,0,0,0,0
140,Pragyan Ojha,16,6,3,3,2,1,8,37.5,0,0,0,0
141,KP Appanna,2,2,1,2,1*,2,3,66.66,0,0,0,0
142,Rohan Gavaskar,2,1,0,2,2,2,8,25,0,0,0,0
143,Juan Theron,7,2,0,2,2,1,5,40,0,0,0,0
144,Manpreet Gony,3,1,0,2,2,2,6,33.33,0,0,0,0
145,Dilhara Fernando,5,1,1,2,2*,0,2,100,0,0,0,0
146,Azhar Bilakhia,1,1,0,2,2,2,4,50,0,0,0,0
147,Pankaj Singh,2,1,0,1,1,1,2,50,0,0,0,0
148,Shalabh Srivastava,8,2,1,1,1*,1,2,50,0,0,0,0
149,Roelof van der Merwe,1,1,0,1,1,1,2,50,0,0,0,0
150,Shane Bond,8,1,0,1,1,1,2,50,0,0,0,0
